delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,distance_km,road_traffic_density,weatherconditions,type_of_vehicle,order_hour,time_taken(min),group
21,4.8,12.96476655,77.53016983,13.03018689,77.51448726,7,Low,Rainy,Car,6,28.5,5 - 8 km
40,4.2,12.98672914,77.51397108,12.9181426,77.58490384,10,Low,Cloudy,Car,1,34.8,8 - 12 km
37,3.2,12.97933609,77.69525102,12.90931654,77.67169369,8,High,Stormy,Bike,9,46.2,5 - 8 km
21,4.2,13.03640054,77.52061114,13.01424088,77.53757421,3,Low,Sunny,Car,15,17.5,2 - 5 km
27,3.2,12.98551846,77.56282943,13.01711237,77.59063688,4,High,Cloudy,Bike,9,31.0,2 - 5 km
30,3.3,13.0750275,77.64588906,12.95758755,77.69603497,14,Low,Stormy,Bike,15,47.4,12 - 20 km
31,4.2,13.09240382,77.5155241,13.01161515,77.65781883,18,High,Rainy,Car,18,69.1,12 - 20 km
29,4.3,12.91375259,77.5187192,12.95398786,77.63940841,14,Low,Sunny,Car,21,44.9,12 - 20 km
39,3.2,12.95691911,77.57715829,13.03373054,77.50451259,11,Jam,Rainy,Bike,1,56.0,8 - 12 km
34,3.8,12.95748639,77.64767268,12.97957954,77.68336325,4,Jam,Sunny,Bike,8,37.3,2 - 5 km
24,3.2,13.06385597,77.67279689,12.95568421,77.5830593,15,High,Stormy,Bike,4,59.7,12 - 20 km
37,3.7,12.94666722,77.59699255,13.0178247,77.55254932,9,Low,Cloudy,Scooter,18,34.5,8 - 12 km
37,3.8,12.9250983,77.67184039,13.09004479,77.63099329,18,Low,Stormy,Car,12,58.7,12 - 20 km
30,4.2,12.99630456,77.58008853,12.93812191,77.69693352,14,Jam,Cloudy,Bike,3,54.6,12 - 20 km
40,3.5,12.93025299,77.52029287,12.97272198,77.50510018,5,Medium,Stormy,Bike,11,34.4,2 - 5 km
22,3.3,12.99483029,77.5230707,12.99761361,77.6955646,19,Jam,Stormy,Scooter,23,76.1,12 - 20 km
37,4.8,12.95295138,77.66577108,12.93228772,77.50461914,18,High,Cloudy,Car,16,56.7,12 - 20 km
37,4.1,13.02858342,77.51820211,13.06908952,77.60367937,10,Medium,Rainy,Bike,16,39.1,8 - 12 km
27,3.4,12.94460833,77.66230225,13.09698521,77.67052576,16,Medium,Stormy,Car,15,60.5,12 - 20 km
31,4.9,12.90579603,77.50558742,12.95588371,77.55183487,7,High,Stormy,Car,11,42.7,5 - 8 km
31,4.6,12.92043143,77.594016,12.9675475,77.59653066,5,Low,Stormy,Car,2,31.6,2 - 5 km
30,3.2,12.92398073,77.57770715,13.0422986,77.53986388,13,Medium,Stormy,Car,23,54.8,12 - 20 km
38,4.8,12.98027736,77.6893594,13.04495973,77.53400073,18,Medium,Sunny,Bike,20,52.3,12 - 20 km
40,3.2,13.0653021,77.69606119,13.03145366,77.5700815,14,Medium,Sunny,Bike,23,45.3,12 - 20 km
36,3.5,12.98676189,77.67434859,13.06523105,77.54220847,17,High,Cloudy,Scooter,18,60.4,12 - 20 km
24,4.1,13.00887055,77.666839,12.9121809,77.64798441,10,Jam,Stormy,Car,16,60.7,8 - 12 km
35,4.2,13.07456112,77.65530123,13.02171093,77.65520779,5,Medium,Cloudy,Bike,3,26.6,2 - 5 km
26,3.6,12.96519643,77.60366974,13.01108837,77.6568545,7,Low,Sunny,Bike,3,24.4,5 - 8 km
36,4.1,13.01234588,77.65199863,13.08249761,77.58864968,10,Medium,Rainy,Scooter,15,40.8,8 - 12 km
33,3.2,12.94953116,77.60464193,13.07519533,77.68556186,16,Medium,Stormy,Bike,14,57.0,12 - 20 km
40,4.3,13.03423109,77.58566774,12.94253796,77.56055602,10,Low,Cloudy,Car,4,32.5,8 - 12 km
27,3.3,12.92745092,77.59354717,13.04933642,77.51882509,15,Jam,Cloudy,Car,13,66.1,12 - 20 km
37,3.9,12.98076195,77.58425529,12.97132296,77.51843881,7,High,Sunny,Scooter,22,37.0,5 - 8 km
28,3.5,12.96629958,77.62478541,13.00245246,77.51285816,13,Medium,Sunny,Bike,5,39.2,12 - 20 km
37,4.8,12.92591111,77.58445084,13.08228276,77.6637958,19,High,Stormy,Bike,18,70.3,12 - 20 km
40,3.2,12.9654097,77.55581246,13.05991751,77.53666881,10,Low,Rainy,Bike,8,35.3,8 - 12 km
39,3.3,13.07124573,77.51332451,13.07255499,77.5907547,8,High,Stormy,Scooter,16,48.4,5 - 8 km
26,3.6,13.08762518,77.69384256,12.95237906,77.53622919,23,High,Rainy,Car,16,74.6,
35,3.5,12.95410447,77.66073579,13.0988998,77.50738987,23,Low,Cloudy,Car,14,59.2,
26,5.0,13.06378403,77.58643552,12.99900031,77.66692279,11,Jam,Rainy,Car,10,54.7,8 - 12 km
22,4.3,13.07638563,77.64576883,12.92794376,77.69788761,17,Low,Cloudy,Bike,8,44.0,12 - 20 km
29,3.1,12.91108022,77.63304554,12.97617636,77.60118858,8,High,Cloudy,Car,5,39.5,5 - 8 km
29,3.4,12.98916492,77.55264861,13.09235731,77.6945246,19,High,Cloudy,Bike,5,58.1,12 - 20 km
22,3.3,12.97632532,77.59492873,13.0005528,77.54019601,6,Low,Sunny,Scooter,18,26.8,5 - 8 km
35,3.3,12.90449883,77.56084891,12.94656191,77.61711666,7,Medium,Stormy,Scooter,23,41.5,5 - 8 km
36,4.1,12.92895044,77.66497143,13.0430022,77.60259624,14,Jam,Cloudy,Car,0,61.0,12 - 20 km
21,3.3,13.0168123,77.67856595,13.03657907,77.63866523,4,Medium,Sunny,Bike,11,26.1,2 - 5 km
20,3.9,12.97532365,77.59027724,12.91015606,77.50376814,12,Medium,Stormy,Scooter,2,49.2,8 - 12 km
28,3.5,13.00059421,77.60703996,13.0318599,77.51321007,10,Jam,Rainy,Bike,6,53.9,8 - 12 km
40,4.3,13.02998646,77.59206801,13.06910625,77.51534797,9,High,Sunny,Car,2,39.9,8 - 12 km
21,4.0,12.96635459,77.63030687,13.03857736,77.62423015,8,Medium,Sunny,Scooter,21,33.5,5 - 8 km
37,3.4,12.94353869,77.59792286,13.04177418,77.55710871,11,Jam,Stormy,Bike,2,62.6,8 - 12 km
26,4.8,12.90350089,77.59179416,13.06397954,77.69362165,21,Jam,Rainy,Scooter,6,71.9,
31,3.5,12.91806062,77.64949724,12.95236179,77.57191072,9,High,Sunny,Car,15,40.4,8 - 12 km
32,3.6,12.93181305,77.68999191,13.03631762,77.58108387,16,Medium,Stormy,Scooter,10,56.3,12 - 20 km
31,3.1,13.05014681,77.66782216,12.92400827,77.68527977,14,Low,Rainy,Scooter,12,47.1,12 - 20 km
